student_id,track_name,date_enrolled,date_completed,student_track_id,track_completed,days_for_completion,completion_bucket
6,"Data Scientist",2022-09-16,NULL,1,0,NULL,NULL
6,"Business Analyst",2022-09-16,NULL,2,0,NULL,NULL
20,"Data Analyst",2022-02-25,NULL,3,0,NULL,NULL
31,"Data Analyst",2022-04-02,NULL,4,0,NULL,NULL
209,"Data Scientist",2022-01-28,NULL,5,0,NULL,NULL
209,"Business Analyst",2022-06-02,NULL,6,0,NULL,NULL
221,"Data Analyst",2022-02-13,NULL,7,0,NULL,NULL
326,"Data Analyst",2022-03-29,NULL,8,0,NULL,NULL
353,"Data Analyst",2022-07-07,NULL,9,0,NULL,NULL
454,"Data Analyst",2022-02-03,NULL,10,0,NULL,NULL
492,"Data Scientist",2022-03-06,NULL,11,0,NULL,NULL
616,"Data Analyst",2022-04-03,NULL,12,0,NULL,NULL
702,"Data Scientist",2022-05-21,NULL,13,0,NULL,NULL
704,"Data Scientist",2022-08-11,NULL,14,0,NULL,NULL
768,"Business Analyst",2022-07-20,NULL,15,0,NULL,NULL
801,"Data Scientist",2022-01-16,NULL,16,0,NULL,NULL
801,"Data Analyst",2022-01-17,NULL,17,0,NULL,NULL
801,"Business Analyst",2022-01-17,NULL,18,0,NULL,NULL
813,"Data Analyst",2022-01-20,NULL,19,0,NULL,NULL
816,"Data Analyst",2022-01-04,NULL,20,0,NULL,NULL
872,"Data Analyst",2022-09-27,NULL,21,0,NULL,NULL
893,"Data Scientist",2022-07-20,NULL,22,0,NULL,NULL
897,"Data Scientist",2022-08-19,NULL,23,0,NULL,NULL
911,"Data Analyst",2022-03-22,NULL,24,0,NULL,NULL
1019,"Data Scientist",2022-03-27,NULL,25,0,NULL,NULL
1019,"Data Analyst",2022-03-05,NULL,26,0,NULL,NULL
1019,"Business Analyst",2022-05-11,NULL,27,0,NULL,NULL
1035,"Business Analyst",2022-01-10,NULL,28,0,NULL,NULL
1099,"Data Analyst",2022-01-27,NULL,29,0,NULL,NULL
1102,"Data Scientist",2022-01-16,NULL,30,0,NULL,NULL
1102,"Data Analyst",2022-01-16,NULL,31,0,NULL,NULL
1102,"Business Analyst",2022-01-16,NULL,32,0,NULL,NULL
1159,"Data Analyst",2022-06-01,NULL,33,0,NULL,NULL
1173,"Business Analyst",2022-09-11,NULL,34,0,NULL,NULL
1221,"Data Scientist",2022-03-23,NULL,35,0,NULL,NULL
1235,"Data Scientist",2022-03-15,NULL,36,0,NULL,NULL
1246,"Data Analyst",2022-05-16,NULL,37,0,NULL,NULL
1270,"Data Analyst",2022-09-12,NULL,38,0,NULL,NULL
